10,0,0,0,0,0,-88,-90,-89,0,0,0,0,0,-88,0,0,0,0,0,0,0,0,0,-82,-82,-81,0,0,0,0,0,0,0,0,0,0,0,0,-86,0,-87,-85,-88,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,-88,-92,-86,0,0,-84,0,0,0,0,0,-94,-93,-90,0,0,0,0,0,0,0,0,0,-80,-83,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,-88,-90,0,0,0,0,0,0,0,0,0,-76,-68,-67
6,0,0,0,0,0,-77,-87,0,0,0,0,0,0,0,0,0,0,0,0,0,-95,0,0,-75,-76,-83,0,0,0,-84,0,-84,0,0,0,-77,-76,0,-91,-89,-93,-86,0,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-61,-57,-64
4,0,0,0,0,0,-81,0,-85,0,0,0,0,0,0,0,0,0,0,0,0,-89,-86,-89,-87,-84,-87,0,0,0,-91,-86,-81,0,0,0,0,0,0,0,0,0,-84,-88,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-57,-53,-54
6,0,0,0,0,0,-84,-79,-80,0,0,0,0,0,0,-86,-86,-83,0,0,0,-80,-80,-80,-85,-86,-82,0,0,0,-82,-84,-86,0,0,0,0,0,0,0,0,0,-86,-89,-91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89,0,0,0,0,-58,-55,-56
15,0,0,0,0,0,-74,-75,-72,0,0,0,-89,-88,0,0,0,0,0,0,0,0,0,0,-73,-76,-74,0,0,0,-81,-81,-82,0,0,0,-88,-83,0,-79,-82,-78,-83,-81,-83,0,0,0,0,0,0,-80,-81,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-94,0,0,-82,0,0
15,0,0,0,0,0,-82,-81,-80,0,0,0,-83,0,0,0,0,0,0,0,0,0,0,0,-83,-77,-85,0,0,0,-78,-81,-80,0,0,0,-87,-82,-87,-81,-83,-86,-79,-85,-82,0,0,0,0,0,0,0,0,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,0,0
15,0,0,0,0,0,-78,-79,-80,0,0,0,-92,0,-89,0,0,0,0,0,0,0,0,0,-85,-82,-80,0,0,0,-81,-86,0,0,0,0,-74,-74,-74,-86,-84,-91,-81,0,-81,0,0,0,0,0,0,-83,-85,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88,0,0,0
3,0,0,0,0,0,-77,-74,-75,0,-77,0,-92,0,-89,0,0,0,0,0,0,0,0,0,-86,-80,-85,0,0,0,-83,-83,-84,0,0,0,-85,-75,-84,-86,-84,-91,-81,0,-81,0,0,0,0,0,0,-66,-64,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,-74,-75,-72
3,0,0,0,0,0,-70,-73,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88,-87,-87,0,0,0,-83,-88,-85,0,0,0,-85,0,-84,-91,0,-89,0,0,0,0,0,0,0,0,0,-77,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-91,-86,-94,-77,-78,-76
2,0,0,0,0,0,-86,-81,-83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,-84,-82,0,0,-89,-85,-84,0,0,0,0,0,0,0,-88,0,-87,0,0,0,0,0,0,0,0,0,-85,-75,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,-87,-85,-71,-72,-74
